ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Genre,Price,Items in Stock
168,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,Historical Fiction,29,6
169,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998,Aladdin,Historical Fiction,50,1
170,Skin And Bones,Franklin W. Dixon,2000,Aladdin,Biography,54,8
171,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,1995,Simon Pulse,Thriller,41,1
172,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,Putnam Pub Group,Young Adult,18,6
173,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,2003,Nelson Books,Mystery,37,3
174,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,1989,Regal Books,Fantasy,36,9
175,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,Mystery,13,2
176,The Martian Chronicles,RAY BRADBURY,1984,Spectra,Romance,56,10
177,Kabale Und Liebe,Schiller,0,"Philipp Reclam, Jun Verlag GmbH",Romance,53,7
178,Der illustrierte Mann. ErzÃ?Â¤hlungen.,Ray Bradbury,2002,Diogenes,Fantasy,32,3
179,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,1980,Diogenes Verlag,Young Adult,23,6
180,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc,Self-help,48,6
181,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,Ray Bradbury,1981,Diogenes Verlag,Young Adult,37,7
182,Das BÃ?Â¶se kommt auf leisen Sohlen.,Ray Bradbury,2003,Diogenes,Thriller,20,7
183,LÃ?Â¶wenzahnwein. Roman.,Ray Bradbury,1999,Diogenes Verlag,Science Fiction,56,1
184,Das Kind von morgen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,Thriller,19,5
185,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,Self-help,55,2
186,Familientreffen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,Romance,23,3
187,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,Ray Bradbury,1988,Diogenes Verlag,Biography,22,5
188,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,Distribooks,Horror,16,1
189,Die Liebe in Den Zelten,Gabriel Garcia Marquez,0,Deutscher Taschenbuch Verlag (DTV),Thriller,59,8
190,Die Klone der Joanna May. Roman.,Fay Weldon,1993,Dtv,Self-help,52,8
191,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,1998,Dtv,Mystery,20,1
192,Haifischfrauen.,Kiana Davenport,1996,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",Young Adult,26,5
193,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002,Heyne,Fantasy,27,5
194,Schwarzer Tee mit drei StÃ¼ck Zucker,Renan Demirkan,1991,Kiepenheuer &amp; Witsch,Mystery,14,2
195,QuerschÃ?Â¼sse - Downsize This!,Michael Moore,2003,Piper,Young Adult,32,2
196,Die Korrekturen.,Jonathan Franzen,2002,"Rowohlt, Reinbek",Thriller,16,2
197,Neun ErzÃ?Â¤hlungen.,Jerome D. Salinger,1968,Rowohlt Tb.,Science Fiction,49,6
198,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",Jerome D. Salinger,1998,Rowohlt Tb.,Biography,17,4
199,"Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge, 100).",James Joyce,1981,Suhrkamp,Mystery,39,6
200,Eine ganz normale AffÃ?Â¤re.,Joanna Trollope,2002,Ullstein Tb,Fantasy,51,5
201,"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).",Sue Townsend,2002,"Bertelsmann, MÃ?Â¼nchen",Historical Fiction,29,6
202,Das Buch der lÃ?Â¤cherlichen Liebe.,Milan Kundera,2000,"Fischer (Tb.), Frankfurt",Fantasy,39,1
203,The God of Small Things,Arundhati Roy,1998,Perennial,Science Fiction,51,8
204,The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel,Robert S. Levinson,2000,St Martins Pr,Biography,53,2
205,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",Horror,13,10
206,Four Blind Mice,James Patterson,2002,"Little, Brown",Horror,56,9
207,Private Screening,Richard North Patterson,1994,Ballantine Books,Mystery,23,1
208,Congo,Michael Crichton,1995,Ballantine Books,Romance,42,5
209,Protect and Defend,Richard North Patterson,2001,Ballantine Books,Biography,53,6
210,The Tall Pine Polka,Lorna Landvik,1999,Ballantine Books,Self-help,40,2
211,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,Historical Fiction,50,8
212,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,Horror,38,2
213,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,Romance,10,3
214,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,Young Adult,33,4
215,The Case of the Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,1988,Avon Books,Thriller,14,4
216,Petals on the River,Kathleen E. Woodiwiss,1997,Avon Trade,Thriller,25,3
217,The Elusive Flame,Kathleen E. Woodiwiss,1999,Avon,Fantasy,58,9
218,Legacy of Silence,Belva Plain,1998,Bantam Dell Pub Group,Science Fiction,24,4
219,The Brethren,JOHN GRISHAM,2000,Doubleday,Mystery,11,7
220,The King of Torts,John Grisham,2003,Doubleday Books,Thriller,41,4
221,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,Romance,17,7
222,Bleachers,John Grisham,2003,Doubleday,Self-help,53,2
223,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,Science Fiction,13,4
224,Only Love (Magical Love),Erich Segal,1998,Berkley Publishing Group,Historical Fiction,46,6
225,All or Nothing (Wheeler Large Print Books),Elizabeth Adler,2000,Island,Thriller,57,4
226,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,Biography,30,9
227,The Rescue,Nicholas Sparks,2001,Warner Books,Young Adult,47,9
228,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,Fantasy,44,3
229,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,Horror,57,6
230,Pet Sematary,Stephen King,1994,Signet Book,Romance,31,4
231,Silent Snow,Steve Thayer,2000,Signet Book,Historical Fiction,27,1
232,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,Self-help,32,3
233,Summer of Storms,Judith Kelman,2002,Jove Books,Fantasy,56,9
234,The Patient,Michael Palmer,2001,Bantam Books,Biography,18,10
235,"Demona's Revenge (Gargoyles, No. 2)",Francine Hughes,1995,Scholastic,Romance,38,1
236,Clifford's Sports Day,Norman Bridwell,1996,Scholastic,Fantasy,55,10
237,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket,Young Adult,40,9
238,Deception Point,Dan Brown,2002,Pocket,Romance,47,1
239,Tis : A Memoir,Frank McCourt,1999,Scribner,Biography,44,8
240,Angels &amp; Demons,Dan Brown,2003,Atria,Romance,58,5
241,A Monk Swimming,Malachy McCourt,1998,Hyperion,Biography,16,6
242,Crazy Horse,Mari Sandoz,1961,University of Nebraska Press,Thriller,41,6
243,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,1998,Ivy Books,Fantasy,37,10
244,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor,Science Fiction,49,7
245,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,Thriller,44,8
246,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,Thriller,26,8
247,Life of Pi,Yann Martel,2002,Harcourt,Horror,16,2
248,A Judgement in Stone,Ruth Rendell,2000,Vintage Books USA,Science Fiction,17,10
249,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,Self-help,37,8
250,Secret History,DONNA TARTT,1993,Ballantine Books,Science Fiction,32,7
251,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,Biography,45,10
252,Great Expectations (Heinemann Guided Readers),John Milne,1995,Delta Systems,Young Adult,37,1
253,The Weight of Water,Anita Shreve,2001,"Little, Brown",Fantasy,47,8
254,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,HarperTorch,Thriller,14,5
255,Night Watch,Terry Pratchett,2002,HarperCollins,Historical Fiction,52,3
256,Thief of Time,Terry Pratchett,2001,HarperCollins Publishers,Science Fiction,28,4
257,Charlotte's Web Book and Charm (Charming Classics),E. B. White,2003,HarperFestival,Young Adult,20,8
258,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,2003,HarperFestival,Historical Fiction,18,5
259,My Friend Flicka,Mary O'Hara,1988,Perennial,Mystery,18,3
260,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,2001,HarperCollins,Romance,11,6
261,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,1998,HarperPrism,Historical Fiction,44,10
262,"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)",Terry Pratchett,1997,HarperPrism,Young Adult,41,1
263,Interesting Times: A Novel of Discworld,Terry Pratchett,1997,Harpercollins,Horror,43,8
264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,HarperTempest,Young Adult,15,1
265,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,Historical Fiction,15,7
266,The Wind in the Willows,Kenneth Grahame,1996,St. Martin's Press,Science Fiction,13,7
267,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,1997,St. Martin's Griffin,Young Adult,44,8
268,Moonheart (Newford),Charles de Lint,1994,Orb Books,Romance,60,6
269,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999,Del Rey Books,Science Fiction,49,5
270,Powder and Patch,Georgette Heyer,2004,Harlequin,Self-help,60,2
271,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998,Modern Library,Historical Fiction,21,9
272,The Iron Giant,Ted Hughes,1999,Knopf Books for Young Readers,Mystery,53,1
273,James and the Giant Peach,ROALD DAHL,2002,Knopf Books for Young Readers,Young Adult,44,9
274,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,Fantasy,32,5
275,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,Science Fiction,14,8
276,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,Fantasy,26,8
277,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole",Sue Townsend,1997,Perennial,Young Adult,51,1
278,Martian Chronicles,Ray Bradbury,1997,William Morrow,Fantasy,37,7
